name,description,Location,Founder,Year founded,Active Status,Industries,Portfolio Size,Investment Stage,Contact Email,Website,LinkedIn,Number of Investments,Phone Number,Number of Exits,Facebook,x
Google for Startups Africa,"If your team’s wrestling with tricky tech or AI, Google for Startups Africa offers a solid, no-equity accelerator—10 weeks of mentoring, product credits, access to some intimidatingly smart folks, and the inside track on what it takes to go from bright idea to actual investment opportunity. Open to Rabat-based founders working in growth-stage tech; the connections to Google’s talent and expertise could open all sorts of doors, well beyond Morocco. Not to be sniffed at if you’re chasing proper scale.",Pan-African program (accessible to Rabat-based startups),Google initiative,2018,Active,"Technology, AI, Fintech, Healthtech",140+ startups,Seed to Series A,,https://startup.google.com/programs/accelerator/africa/,https://www.linkedin.com/showcase/google-for-startups/,,,,,
Moroccan Innovation Circle (MIC),"MIC isn’t just Rabat’s local club—it’s a sprawling global network for Moroccan founders and innovators, roping in connections to places as far-flung as Stanford and King’s College London. Their MIC Ventures programme targets fintech, agritech, and healthtech, helping startups find funding, mentorship, and routes into global markets via VC partnerships. With splashy events in NYC, Milan, and Paris, plus a foot in plenty of major universities, MIC’s networking reach is serious. You might swap some jetlag for a world-class pitch deck, and their team’s excitement is catching—even if you’re normally a cynic like me.","Rabat, Morocco","Amr Yassine Mouaqit, Rania Belahsen",2024,Active,"Fintech, Agritech, Healthtech",,Pre-seed to Seed,,https://www.moroccancircle.com/,https://www.linkedin.com/company/moroccan-innovation-circle,,,,,
National Venture Building Program (Ministry of Digital Transformation),"Launched in late 2024, this ambitious government programme is a linchpin of Morocco’s “Digital Morocco 2030” plan. From its Rabat HQ, it’s all about plugging founders into the right national and international accelerators, with government-backed venture-building to help locals scale-up and attract global investors. They want to propel the best talent all the way from early product to international market entry, rubbing shoulders with institutional capital and (hopefully) watching Moroccan startups go from seed to a decent exit.",Based in Rabat (Ministry headquarters),Ministry of Digital Transformation,2024,Active,Digital innovation,,Various stages,Application via Ministry website,https://dig.watch/resource/morocco-digital-strategy-2030,,,,,,
Orange Fab,"You can’t miss Orange Fab if you’re a tech founder—one of the oldest corporate accelerator networks, they run a slick operation across 20+ cities. With a strong focus on Data-AI and 5G but generally happy to back any sector, Orange Fab offers business development support and rare chances to pitch at massive national and international events. Corporate partnerships, access to real-life clients within the Orange universe, and serious mentoring all sweeten the deal. Perfect if you’re fixated on building relationships that open doors beyond your home patch—though watch out for savage deadlines and lots of competition, obviously.",Morocco (presence in Rabat likely),Orange corporate initiative,2023,Active,"Sector Agnostic, Data-AI, 5G",,Early Stage,,https://orangefab.com/en/,https://www.linkedin.com/company/orange,,,,,
Smurfit Westrock Morocco Experience Center,"Bit of a curveball, this. Smurfit Westrock’s Morocco Experience Center is Africa’s first innovation hub for the cardboard packaging sector, kitted out with AI, VR, and every design tool under the sun. With €5 million invested, the centre aims to drag packaging firms into the future with slick, sustainable tech. While you won’t find classic seed funding or a cap table workshop here, startups in packaging or related tech can tap global expertise and possibly carve out new value chains in Morocco. The centre is a showcase for how even “old school” sectors are moving forward in Rabat’s ecosystem—even if you do sometimes get lost in the jargon.","Ain Aouda, near Rabat, Morocco",Corporate initiative by Smurfit Westrock,2025,Active,Packaging industry innovation,,,,https://www.smurfitwestrock.com/,https://www.linkedin.com/company/smurfit-westrock/,,+212 5376-48700,,,
GUStartHub,"Set up at the German University of Technology in Halban, GUStartHub focuses on turning bright tech ideas from students and recent grads into functional businesses. It’s all about in-person mentoring, hands-on support, and making sure new founders find their feet. The approach is practical, and while you won’t get “overnight unicorn” promises, GUStartHub leans heavily on guidance and the campus’s growing network to help you get your startup moving, especially in tech and software.","Halban, Oman",German University of Technology in Oman (GUtech),2023,Active,Technology-based businesses,,Early-stage,ees@gutech.edu.om,https://gustarthub.dotnxt.om/,https://www.linkedin.com/school/german-university-of-technology-in-oman/,,+968 2206 1185,,,
Innovation Park Muscat,"Positioned as Muscat’s answer to Silicon Valley campuses, Innovation Park Muscat is unashamedly ambitious. Set across 540,000 square meters, this research-driven cluster wants to attract serious science, technology, and health startups—ideally those chasing nothing less than regional domination (or at least a chunky Series A). There’s a strong focus on energy, biotech, water, and health. The range of facilities is startling, from incubation spacce (yes, that’s the misspelling) to conference halls, labs, even a hotel and a mini-mall. If you’re aiming high with your cap table, it’ll feel like home.","PC 130, Al Athaiba, Muscat, Sultanate of Oman (PO Box 1422)",The Research Council (TRC),2019,Active,"Science, Technology, Research and Development",,Research and Development,,https://www.iasp.ws/our-members/directory/%4031901/innovation-park-muscat,https://www.linkedin.com/company/innovation-park-muscat-%D9%85%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D8%A5%D8%A8%D8%AA%D9%83%D8%A7%D8%B1-%D9%85%D8%B3%D9%82%D8%B7/,,+968 2230 5333,,,
National Business Centre (NBC),"NBC’s not just another office block with a startup sign outside—since 2012, it’s been a steady hand for early-stage founders and growing SMEs in Muscat. Created under Madayn, NBC brings solid backing, regular events and no-nonsense advice, especially for those turning their first funding round into something more than an endless string of pitch decks. The OM.HUB initiative, its flagship, brings SMEs together and opens up the elusive world of local venture capital and angel investors. Its location, close to both factories and universities, makes bumping into your next business partner (or customer) more than just luck.","PC 124, Rusayl, Sultanate of Oman (PO Box 200)",Public Establishment for Industrial Estates (Madayn),2012,Active,"Various, with a focus on SMEs",has invested in 200 startups,Early-stage,invest@madayn.om,https://madayn.om/sites/NBC/EN/Pages/Home.aspx,,200,+968 2417 0700,,,
OTF Techween,"Techween is Muscat’s answer to founders with an idea, a bit of caffeine and not much else. Part of Oman Technology Fund, Techween takes in early teams—especially ones with a tech or digital edge—gives you pre-seed cash (up to $50k for 7% equity) and three months’ relentless guidance. Cohorts run twice a year, focusing on digital media, web, mobile, and anything “disruptive” enough to make a dent. The aim isn’t glitz but hard coaching and network building, just what early-stage startups need before they risk talking to proper VCs or, worse, their parents.","Muscat, Oman",Oman Technology Fund (OTF),2017,Active,"Technology, Startups",10 startups per cohort,Pre-Seed,,https://www.otf.om/techween/,,10 startups per cohort,,,https://www.facebook.com/otf.member.14,
OTF Wadi Accelerator,"Driven by Oman Technology Fund, Wadi Accelerator builds on the Techween concept and takes it up a notch: early-stage startups (especially tech) get three months of tough love, access to international mentors—mostly through its standout partnership with 500 Startups—and advice on everything from VC terms to scaling regionally. This one’s for those already past idea-stage, now gunning for real growth or a cheeky seed funding round. There’s a clear focus on capacity building and proper knowledge transfer—not just for founders but for Muscat’s whole startup ecosystem.","Seeb, Oman",Oman Technology Fund (OTF),2017,Active,"Technology, Startups",,Seed to Pre-Series A,info@wadiaccelerator.com,,,"19 investments as of March 1, 2021",+968 2417 2717,200,,
Rising Omani Startup Programme,"Launched as a team effort between ASMED and Madayn, the Rising Omani Startup Programme is all about getting diverse early-stage startups launched—especially those in sectors from tourism and health to food security and real estate. Their accelerator runs from September to December, mixing 46 new founders between idea and pre-seed stages, and offers 290 hours of no-fluff training. Funding? Yes, plus tailored advice, exhibition exposure, and even workspace. Notably, they’re planning a dedicated venture capital fund via the Oman Future Fund—potentially unlocking bigger deals for founders itching for proper VC engagement. It’s Muscat’s most hands-on answer for anyone seeking their first term sheet or closeup learning on cap tables in action.","Knowledge Oasis Muscat (KOM), Muscat, Oman",Collaboration between ASMED and Madayn’s Industrial Innovation Academy,2023,Active,"Technology, Innovation, Tourism, Real Estate, Health, Food Security",Reaching OMR 60 million as of September 2024,Idea to Pre-Seed,,https://forms.sme.gov.om/Viewer/0AE95FE8-AC7D-4211-A655-D4BE926F9277,,,,,,
Sas Center for Entrepreneurship,"Sas Center (born from a Ministry of Transport and IT push) is the place if you’re all about AR/VR, AI, or dreaming up the next fintech revolution. They support both brand-new projects and fast-growing companies, offering everything from idea validation to full acceleration. Recent sessions feature cyber security demo days and “Design Thinking Lab” workshops—a practical route for anyone wanting more than just networking coffee. With 70+ startups backed, Sas is a strong name to drop if you’re pitching VICs or showing off your founder story at an Arageek meetup.","PC 130, Al Athaibah, Sultanate of Oman (PO Box 1807)","Ministry of Transport, Communications and Information Technology (MTCIT)",2013,Active,Information and Communication Technology (ICT),Over 70 companies,Early-stage,sas@mtcit.gov.om,https://www.sas.om/SASEN/Pages/about.aspx,https://www.linkedin.com/company/sas-om,,+968 24166420,,,
SparkLabs Energy,"For anyone with stars in their eyes—and maybe an energy solution up their sleeve—SparkLabs Energy is as serious as Muscat gets. Created by SparkLabs Group (of pan-Asian fame) in partnership with PDO and Phaze Ventures, this one focuses on scaling real energy tech for Oman and beyond. Founders get access to global VC connections, proper testing inside PDO operations, and a rare chance to prove traction before chasing those mythical angel investors. It’s perfect for startups aiming to actually matter in the region’s broader energy game.","Muscat, Oman","Joint venture between Petroleum Development Oman (PDO), Phaze Ventures, and SparkLabs Global Ventures",2018,Active,"Energy, Technology",At least 6 startups in the first cohort,Seed,,,,,,,,
Zubair Small Enterprises Centre,"Zubair SEC is a bit of sleeper hit within Muscat’s scene—backed by the Zubair Corporation, it’s there for up-and-coming SMEs and professionals trying to go legit. It’s not just for fancy fintech apps; you’ll find all kinds of commercial ventures here getting real advice, connections, and a push in the right direction. With a decade under its belt, Zubair SEC has become a touchstone for many early-stage founders, especially those looking beyond the typical VC crowd for support or seed funding.","PC 100, 3rd Floor, Al Sadiya Street, Block 180-184, Way 8687, Building 104/229, Old Muscat, Sultanate of Oman (PO Box 257)",The Zubair Corporation,2013,Active,"Various, with a focus on SMEs",,Early-stage,info@zubairsec.org,https://zubairedc.org/,https://www.linkedin.com/company/zubair-small-enterprises-center/,ver 200 small businesses and around 240 entrepreneurs,+968 2 4737325,,,
Brilliant Lab,"Brilliant Lab’s reputation as a launchpad for early-stage startups in Kuwait is well earned. Established back in 2011 by Neda Aldihany, it quickly carved a niche helping tech founders navigate both Kuwaiti and Bahraini markets. With its main “Brilliant Start” programme, plus a smart habit of spinning up partnerships with corporate heavyweights like Zain, this accelerator builds real bridges to both knowledge and networks. Founders praise the international exposure—collabs with US and European entrepreneurs aren’t just for show. While the cash support is there, it’s the peer exchange, mentors, and infrastructure that seem to turn dreamers into actual businesses.","Kuwait City, Kuwait",Neda Aldihany,2011,Active,"Technology, Startups",$100K,Early-stage,brilliantlab350@gmail.com,https://www.brilliant-lab.com/,https://www.linkedin.com/company/brilliatlab,200,,,,
Founder Institute Middle East (MENA),"Founder Institute is that global “turn-ideas-into-reality” accelerator network you’ve likely heard about at every tech meet, and their MENA programme is now set up in Kuwait as well. It’s not local-flavoured—but the advantage is massive reach: 7,500+ startups globally, a structure designed to get your idea off sticky notes and into actual funding rounds. There’s a big focus on pre-seed, marching you through the “FI Core” with plenty of mentorship, then onward to more advanced labs and exposure to the FI Venture Network. Alumni here can tap into connections across the region and further afield—useful for founders tired of going round in cirkles locally.","MENA region, including Kuwait",Founder Institute,"2009 (global), MENA chapters later",Active,"Technology, Digital Media, Software, Biotech, Cleantech, E-commerce, Advertising, Consumer Electronics","Not publicly disclosed for the Kuwait chapter. Globally, the Founder Institute has over 7,500 alumni companies.","Idea-stage, pre-seed",,https://fi.co/,https://www.linkedin.com/company/founder-institute,"7,500+ (global)",,"Not publicly disclosed for the Kuwait chapter. Globally, the Founder Institute has facilitated +110 exits.",,
inspireU,"Digital innovation gets a corporate edge with inspireU, the Middle East’s answer to combining telco know-how with young founders’ ambition. Backed by stc, it stands out for actually rolling up sleeves: founders get six months of intensive business strategy and growth help, plus practical support getting all those awkward licences sorted out. It’s a rare thing in the region—proper workspace access across both Kuwait and Saudi Arabia, and a selection process that keeps standards high. Not everyone loves a big company vibe, but for early-stage digital startups searching for structure (and the odd boardroom perk), it’s a strong option.","Kuwait City, Kuwait",STC Group,2015,Active,"ICT, Digital Innovation",130+ startups supported,Early-stage,inspireu@stc.com.sa,https://www.stc.com.kw/en/inspire-u?srsltid=AfmBOoojjuoddVRV-ItaSsM6iJGAk0axjT8HaqTV_6afs2wdIjiv0Vbw,,over 130 projects across Kuwait and Bahrain,,,,
Kuwait Digital Startup Campus (KDSC),"If you’re so early-stage you’ve barely sketched out your deck, KDSC is where a lot of Kuwaiti founders start grafting. Designed by the Youth Public Authority with support from Aerospace Xelerated, it’s a pre-accelerator built around a “learn, do, pitch” model—bootcamps, months of virtual development, and a final shot at impressing investors. There’s a smart twist: their international London networking tour straight after the bootcamp, plugged right into the UK startup ecosystem. That kind of cross-border mentoring and cohort-building is rare in the region, and makes the weirdly blended (“hybrid”) format actually work for busy founders chasing angel investors as well as guidance.","Kuwait City, Kuwait","Youth Public Authority, Aerospace Xelerated",2024,Active,"Technology, Startups",,Pre-accelerator,contact@kdsc.ventures,https://kdsc.ventures/,https://www.linkedin.com/posts/fatkidonfire_kuwait-digital-startup-campus-supporting-activity-7316062952527187970-S-Rf,20 per cohort,,,,
Kuwait National Fund (KNF),"Government-backed and well resourced, KNF is the sort of state initiative most early-stage founders dream of having in their corner—though there are strings attached. Focused sharply on Kuwaiti nationals, they’ve lent serious muscle (and cash: $350m+ invested, over 800 startups funded) to the SME sector, nudging the country away from the old oil economy. Requirements are strict, but the support can reach up to 80% of a business’s capital needs, capped at around $1.6m. Worth noting: founders need to be Kuwaiti, teams as well. Accessibility isn’t perfect, but if the fit’s right, this is core VC funding with a public spirit.","Kuwait City, 25501 Mansouria",Government of Kuwait,2013,Active,"Various (SMEs, tech, etc.)",800+ startups since 2014,Seed to growth-stage,info@nationalfund.gov.kw,https://nationalfund.gov.kw/en/,,800+,136,,https://www.facebook.com/thenationalfund,
Savour Ventures,"Savour Ventures is a rare breed: a proper foodtech-and-agrifood accelerator anchored in Kuwait City, but scanning applications from as far off as Europe, Africa—even the US. Founder Rashid Sultan and team only take a handful of startups per cohort (the last round attracted over 300 hopefuls and picked five), but winners get $100k in investment ($50k outright, the rest covers costs), and a curriculum built on “learn by doing”. The investor mock meetings are feared and loved in equal measure. Not everyone’s in it for the food chain, but if agri, distribution or foodtech is your game, relocation and visa support are included. Plenty of previous cohort founders say the community sticks together after the programme.","Kuwait City, Kuwait",Rashid Sultan,2017,Active,"FoodTech, AgriTech",,Early-stage,info@savour.ventures,https://www.savour.ventures/,https://www.linkedin.com/company/savourventures/,29,,1,,
Sirdab Lab,"More hub than accelerator in the formal sense, Sirdab Lab is where the Kuwaiti startup crowd comes to find co-founders, swap pitch decks, or just not work alone. Set up by five founders (including Savour Ventures’ Mona Al Mukhaizeem), it’s a genuine community-first approach: pay for membership, and you’re in the club. Expect practical workshops, events, and plenty of informal mentorship. Stuffy consultancy it’s not—the vibe aims for that Silicon Valley-style peer-to-peer advice, except without the overpriced coffee. Sometimes having somewhere with actual buzz is worth more than a term sheet.","Kuwait City, Kuwait","Mona Al Mukhaizeem, Abdullah Al Hussainan, Ghalia Faraj, Haider Al Mosawi, Abdullah Al Sayer",2014,Active,"Technology, Startups",,Early-stage,,http://sirdab-lab.com/,https://www.linkedin.com/company/sirdab-lab,,+965 6708 8990,200,,
Zain Great Idea (ZGI),"Now celebrating a 15-year run, Zain Great Idea is one of Kuwait’s most storied startup accelerators—originally a social responsibility project and now a launchpad for tech across the region. With a solid six-to-nine month programme mixing bootcamps, big-name mentors (Harvard, Stanford, you name it), and a Demo Day with real investment on offer, the ZGI cohort gets proper Silicon Valley exposure without the jetlag. The focus is on early-stage tech, and thanks to Rasameel Investment Company and others, funding’s more than just a promise. If you’re a Kuwaiti founder dreaming big, it’s hard to ignore the doors this scheme might open for your next funding round (or even a future Series A).","Kuwait City, Kuwait","Zain Kuwait (with Brilliant Lab, IE Business School)",2010,Active,"Technology, Startups",100+ startups accelerated,Early-stage,,https://www.zaingreatidea.com/,,"over 1,500 Kuwaiti and Arab youth",,,,
Alchemist Doha,"Brand new for 2025, Alchemist Doha is what happens when Silicon Valley’s muscle meets regional ambition. Born from a tie-up between the famed Alchemist Accelerator and the Qatar Research, Development, and Innovation Council, it’s gunning for enterprise startups with products that already work (rather than just ideas scrawled on napkins). The focus is on fintech, IoT, SaaS and anywhere an impressive term sheet gets you through the door. With up to $1 million in equity investment per startup, founders here can plug straight into a global network without skipping their morning karak. If your startup’s got a proper track record, this is the place for big swings and even bigger funding rounds.","Doha, Qatar","Alchemist Accelerator and Qatar Research, Development, and Innovation Council (QRDI)",2025,Active,"Enterprise startups: fintech, IoT, SaaS",,Early to growth stages with proven traction,,https://www.alchemistaccelerator.com/doha,https://www.linkedin.com/company/alchemist-doha,Up to $1 million equity per startup,,45,,
Digital Incubation Center (DIC),"DIC is where Qatar’s tech dreams get their real-world baptism. Launched by the Ministry of Communications and Information Technology, this one’s all about digital businesses and early-stage tech builders. Their Ideacamp program pushes founders past just “having a go”—offering two years of in-person support, mentorship, services, and a shot at up to QR 300,000 in cash rewards. Sectors? Anything digital, from AI and healthtech to smart agriculture. DIC’s vibe is more “quietly practical” than glitzy, but the founders who stick it out often emerge battle-tested enough for proper VC funding rounds elsewhere.","Al-Nasser Tower B, 5th Floor
Post Office Signal
Al Corniche Street
Doha, Qatar",Ministry of Communications and Information Technology,2011,Active,"Technology, digital businesses, ICT innovation",,Idea stage to early traction,incubation@mcit.gov.qa,https://dic.mcit.gov.qa/,https://www.linkedin.com/company/digital-incubation-center,"Potential cash rewards up to QR 300,000 per startup",+974 44733423,76,,
Fintech Hub Qatar,"A specialist play launched by Qatar Development Bank, Fintech Hub Qatar does exactly what it says on the tin—an incubator and accelerator rolled into one, all built for the financial technology crowd. Early-stage startups get space to experiment, later-stage ventures get regulatory hand-holding (not to be underestimated in financial services). You’ll get the ear of angel investors, a demo day for your pitch deck, and a taste of that all-important cap table reality. Qatar’s push to be a name in regional fintech is more marathon than sprint, but the support here is genuine—solid connections and experienced mentors, rather than empty PR.","6th Floor, Qatar Development Bank Tower 2, PO 22789, Grand Hamad Street, Doha, Qatar",Qatar Development Bank (QDB),2020,Active,Financial technology,Over 100 startups supported,Incubator and accelerator stages,fintech@qdb.qa,https://fintech.qa/,https://www.linkedin.com/company/fintechqa/?viewAsMember=true,+100,,,,
Qatar Business Incubation Center (QBIC),"QBIC might be one of Doha’s most recognisable names. It’s where ambition meets structure, backed straight by Qatar Development Bank and the Social Development Center. The USP? LeanStartup and LeanScaleup programmes that help everything from untested ideas to fast-growing early-stage startups. There’s funding, shared workspaces, real mentorship, and a relentless approach to churning out the next QAR 100 million company. Whether you’re after your first term sheet or scaling up, QBIC will put you through your paces. It’s busy, competitive and a bit relentless—but that’s what you want if you’re serious about making it in this ecosystem.","Salwa Road, Exit 17, Doha, Qatar",Qatar Development Bank (QDB) and Social Development Center (Nama),2014,Active,"Mixed-use, tech-leaning",123 companies (as of 2017),Idea through scaleup,,https://qbic.qa/,https://qa.linkedin.com/company/qatar-business-incubation-center-qbic-,QAR 3.8 million (as of 2017),+974 4019 3000,,,
Qatar Science & Technology Park (QSTP),"QSTP is Doha’s answer to anyone who still thinks there’s “no real deeptech” in the Gulf. Sat inside Education City and operating as a Free Zone, it’s surrounded by some of the region’s top universities. QSTP covers a lot—energy, environment, health sciences, and ICT—making it a natural landing pad for techie founders. The one-year incubation programme gets you free coworking, access to prototyping labs, and a shot at joining the MENA Dojo or the XLR8 accelerator (which has a whiff of American bravado about it). International startups are welcome too, especially if you want to plug in locally while keeping one foot global. The only catch? You’ve got to show actual R&D happening here, so no smoke and mirrors.","Al Gharrafa Street, Al Rayyan, Education City, Doha, Qatar",Qatar Foundation (QF RDI),2009,Active,"Energy, environment, health sciences, ICT",50+ startups (as of 2025),Early stage to scale,info@qstp.org.qa,https://qstp.org.qa/,https://www.linkedin.com/company/qatar-science-&-technology-park,,"T: +974 4454 7070
F: +974 4454 7011",,,
Qatar SportsTech (QST),"If you’re tinkering in sports technology, Qatar SportsTech is worth a look. Run with Aspire Zone, QST specialises in a focused 12-week accelerator for startups targeting the sports sector—think infrastructure, athlete data, fan engagement, and all sorts of SaaS for stadiums. For a place obsessed with global sporting events, the connections on offer—both local and international—are second to none. It’s hands-on, short and sharp, and no-nonsense about what’s investable. Gloves off, sports tech founders—here’s your proving ground.","Doha, Qatar",Partnered with Aspire Zone,2018,Active,Sports technology,,Startups ready for product launches and growth,hello@qatarsportstech.com,https://qatarsportstech.com/,https://www.linkedin.com/company/qatar-sportstech,Fourth cohort including 10 innovative companies from 8 countries,,4,,
QRDI Council Programs/Bootcamps,"QRDI Council’s bootcamps are for founders who want to get their heads out of the clouds and into a solid growth plan fast. The five-day Strategic Product Management Bootcamp isn’t glamorous, but it’s rammed—immersion in frameworks, market research, business roadmaps, and funding connections. All in person, all hands-on. It’s backed by Qatar Development Bank, so plenty of chances to mingle with other founders and the odd angel investor. Arageek reckons it’s one of those unsung resources that sets up new startups for sharper pitches and real progress when it’s time to chase VC funding or survive their next funding round.","PO Box 5825, ThinkBay, Education City,
Doha – State of Qatar","Qatar Research, Development, and Innovation Council",2022,Active,"Various sectors, product management focus","100,000 QAR (USD 27,000)",SMEs and startup founders,info@qrdi.org.qa,https://qrdi.org.qa/en-US/,https://www.linkedin.com/company/qrdicouncil/,,,,,
Tasmu Innovation Lab,"Tasmu is less about polite theory, more about chucking you into experimental sandboxes for AI and XR (VR/AR/MR if you’re into acronyms). Launched by the Ministry, but plugged straight into global partnerships (think Google and Deloitte), it wants to make Qatar the “smartest” city in the Gulf—no pressure. The AI Sandbox and XR Sandbox offer startups a cushy place to break things, test products, and learn by doing—without bringing down the nation’s network in the process. Ideal if you’re looking to push technology or test your MVP in an environment where failure’s seen as healthy rather than terminal.","Al Nasr Tower B, 21st Floor, Doha, Qatar",Ministry of Communications and Information Technology (formerly Ministry of Transport and Communications),2017,Active,"Smart city, digital economy, AI, XR technologies",,"Experimental, MVP to product",lab@mcit.gov.qa,https://ilab.mcit.gov.qa/,https://www.linkedin.com/company/tasmuqa,,+974 40452614,,,
UHUB (University of Doha for Science and Technology Business Incubator),"If academia’s your stomping ground, UHUB gives smart students and researchers an edge in taking their work out of the lab and into the real world. Run by the University of Doha for Science and Technology, it lays on workshops, pitching showcases and speed networking with angels and industry. The focus is on turning capstones into companies, links between academia and the startup scene, and building a cap table before half the cohort even know what pre-money means. Admittedly, it can sometimes feel like a bit of a test chamber—but the access to university kit and expertise is gold dust for certain sectors.","Al Tarafa, Jelaiah Street
Duhail North
P.O. Box 24449
Doha, Qatar",University of Doha for Science and Technology (UDST),2024,Active,"Technology, Research Commercialization, Intellectual Property, Capstone Projects",,Idea to Early-stage,,https://www.udst.edu.qa/uhub,https://www.linkedin.com/school/university-of-doha-for-science-and-technology/,,+974 44952012,,,
Amideast Entrepreneur Institute (AEI),"Amideast’s Entrepreneur Institute is all about getting founders business-ready through hands-on skills, not just talk. You’ll find everything from finance crash courses to legal clinics for that first terrifying term sheet. Around 700 budding entrepreneurs have come through their hybrid programs—about a third going on to launch in sectors from edtech to retail. It’s a non-equity setup, so you keep your cap table tidy, but on the flip side, don’t expect them to cut a massive cheque.","Beirut, with regional online programs",Amideast NGO,2010,Active,General entrepreneurship,700+ graduates,Early-stage,"entrepreneurs@amideast.org
lebanon@amideast.org",https://www.amideast.org/lebanon/develop-a-skill/entrepreneurship/amideast-entrepreneur-institute,https://www.linkedin.com/company/14783141/admin/,,+961 1 989901,,,
Berytech Agrytech Accelerator,"Agrytech’s mission is to fix the breaky bits in Lebanon’s agrifood scene, turning academic know-how into real businesses. The focus here is on scalable tech solutions—think smart irrigation and soil health. If you’ve got an MVP and ambition (and a taste for clean tech), you’ll get mentorship, linkups with experts, and maybe even a shot at being the next AquaGuard or Terralytics. Applications open every Q1 and after running 50+ startups through the wringer, alumni have landed north of $15M in funding. Not a bad batting average.","Beirut Digital District, Lebanon",Supported by the Kingdom of the Netherlands,2017,Active,"Agrifood, clean technology",50+ startups,Early-stage (MVP development),Via Berytech website,https://berytech.org/programs/agrytech/,https://www.linkedin.com/company/berytech/,,+961 4 533040,,,
Berytech Lebanon Innovate,"This one’s backed by the EU, laser-focused on spinning university discoveries out into startups—not just papers gathering dust. It throws early funding (up to €50K per grant) at prototypes, especially those coming out of academia. GenoLeb in biotech and Solaris in renewable energy are already on the books. It’s a solid bet for researchers who are finally ready for a pitch deck, but don’t be surprised if academic and commercial timelines try to trip you up.",Beirut,"Berytech, funded by the European Union",2025,Active,"University spin-offs, IP commercialization",,"Berytech, funded by the European Union",Via Berytech website,https://berytech.org/programs/lebanon-innovate/,,,,,,
Flat6Labs - Beirut,"Flat6Labs swings a hefty bat with its Lebanon Seed Fund—$20 million sliced into $30K–$50K cheques in return for a not-trivial cut of equity (usually 10–13%). Major names like Toters (on-demand delivery) and Sohati (healthtech) have come up through the ranks. Regional expansion is key here, with a decent chunk of their startups stretching into MENA. That investor network can really open doors—assuming you can live with those equity terms.","Tyane, Beirut, Lebanon",Flat6Labs Founder partnership with ArabNet,2017,active,"General tech (AI, fintech, e-commerce)",100+ startups,Seed,beirut@flat6labs.com,https://flat6labs.com/program/flat6labs-beirut/,https://www.linkedin.com/company/flat6labs,85,+961 1 669856,2,,
Founder Institute MENA (Beirut Chapter),"Founder Institute’s Beirut cohort is perfect if you like your mentorship with a side of global network. It’s virtual first (with occasional meetups), suiting founders who hate the commute and need to get their startup investment-ready for seed funding. The structure is rock-solid, though the remote aspect isn’t for everyone—especially if you crave those late-night strategy sessions in person.",Virtual with local meetups,Adeo Ressi (Global Founder),2025,Active,"Technology, Digital Media, Software, Biotech, Cleantech, E-commerce, Advertising, Consumer Electronics","Not publicly disclosed for the Beirut chapter. Globally, the Founder Institute has over 7,500 alumni companies.",Idea and pre-seed,Via Founder Institute website,https://fi.co/,https://www.linkedin.com/company/founder-inssitute-me,"7,500+ (global)",,"Not publicly disclosed for the Beirut chapter. Globally, the Founder Institute has facilitated +110 exits.",,
Mega Green Accelerator (Beirut Cohort),"This one’s a regional play, but 2024’s cohort did include Beirut’s own YY ReGen, earning well-deserved recognition for solar innovation. You get a $100K grant—no equity taken—thanks to PepsiCo and SABIC trying to drive green and agritech solutions. If you’re thinking big and want to scale across emerging markets (without diluting yourself early), it’s a real contender.",Regional (Beirut-based startups eligible),"Initiative by PepsiCo, SABIC, and AstroLabs",2024,Active,"Green tech, agritech",8 startups selected in the inaugural cohort,"Growth, Seed",support@megagreenaccelerator.com,,,,,,https://www.facebook.com/megagreen.mena/,
Smart-ESA,"Smart-ESA is all about fixing city gripes—think IoT, smart traffic, and things most people moan about but rarely try to solve. BeirutFlow, a standout alum, is proof that smart cities aren’t just a pipe dream. They work with local authorities, but you’ll need patience: expect bureaucratic headaches before your pilot sees daylight.","289 rue Clemenceau, Beirut, Lebanon",ESA Business School,2017,Active,"Technology, Startups, Smart cities, IoT",,Early-stage,,https://www.esa.edu.lb/smart-esa/about-us,https://www.linkedin.com/company/smart-esa/,,+961 1 373 373,,,
speed@BDD,"If fintech or SaaS is your game, speed@BDD is a no-nonsense choice. Only a handful of startups join each year, but those that make it get direct ties with banks, shared workspaces and guidance on everything from product-market fit to the classic funding round jitters. They’ll want up to 15% equity, which can sting—but it’s a sharp way into the Beirut VC circuit.",Beirut Digital District,"Collaborative effort between Lebanon's leading investment funds and entrepreneurship support organizations (LFE, Bader, Berytech, MEVP)",2015,active,"Technology, Software, Digital, Web/Mobile, Fintech, SaaS",20+ startups,Early-stage,info@speedlebanon.com,https://www.im-fndng.com/programs/speed-bdd,https://www.linkedin.com/company/speedaccelerator,,+961 1 649555,,,
StartechEUS FinHub,"StartechEUS waves the flag for Beirut’s fintech crowd. With 15+ startups under their belt—like CoinMENA tackling blockchain remittance—they offer regulatory navigation and that hard-to-find fintech mentorship. It’s in-person, so you’ll need to turn up, but Lebanon’s wobbly financial climate does throw curveballs at times.",Beirut,StartechEUS,2019,Active,"Fintech, AI, Blockchain, Web/Mobile Applications",15+ startups,Seed to Series A (USD 100K to USD 2M),contact@startecheus.com,http://www.startecheus.com,,,+961 1 631 733,,https://www.facebook.com/startecheus/,
