Name,Type,Adress,Country,Description,Investment Focus,Target Countries ,Number of Investments,Stage Focus,Ticket size,Pitch process,Backers or partners,Founders,Founder tip,Number of Funds,Year founded,Active since,CB Rank,Open rate,Lead,Legal Status,Portfolio highlights,Phone Number,Contact Email,Website,LinkedIn,Other social Links,Target_Countries_List,profile_text,Target_Countries_Mapped
musaab hakami,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,"Founder, Ex-GP. Ex-Entrepreneur. Ex-Computer Engineer. Angel Investor. BoD. Ex-CCO & CFO @trySaryApp","FinTech, Software / SaaS","United States, Saudi Arabia, United Arab Emirates",,"Seed, Pre-Seed, Series A",,,,,,,,,,,,,"Lisan â€” Lisan is an AI writing platform offering state-of-the-art proofreading and grammar checking to help individuals who write in Arabic to maximize their productivity, create exceptional content using cutting-edge generative AI models, and automate tasks with AI accelerators.\nFunding Souq â€” Funding Souq connects established SMEs with worldwide investors for sharia-compliant investments with 15% yearly income through small business debt crowdfunding.\nGroundfloor â€” Groundfloor Club: A shared neighborhood workspace & social venue where work, connection & community come together. Daily social events and a local community.",,,,https://www.linkedin.com/in/musaabhakami,https://twitter.com/musaabhakami,"['United States', 'Saudi Arabia', 'United Arab Emirates']","Focus areas: FinTech, Financial Services, Software. Stage focus: Seed, Pre-Seed, Series A. Founder, Ex-GP. Ex-Entrepreneur. Ex-Computer Engineer. Angel Investor. BoD. Ex-CCO & CFO @trySaryApp. Country: Saudi Arabia. Target countries: United States, Saudi Arabia, United Arab Emirates. Portfolio: Lisan â€” Lisan is an AI writing platform offering state-of-the-art proofreading and grammar checking to help individuals who write in Arabic to maximize their productivity, create exceptional content using cutting-edge generative AI models, and automate tasks with AI accelerators.\nFunding Souq â€” Funding Souq connects established SMEs with worldwide investors for sharia-compliant investments with 15% yearly income through small business debt crowdfunding.\nGroundfloor â€” Groundfloor Club: A shared neighborhood workspace & social venue where work, connection & community come together. Daily social events and a local community.","United Arab Emirates, Saudi Arabia"
jeff immelt,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,"Immelt has held several global leadership positions since coming to GE in 1982, including roles in GE's Plastics, Appliances, and Healthcare businesses. In 1989 he became an officer of GE and joined the GE Capital Board in 1997.Immelt has been named one of the World's Best CEOs three times by Barron's, and since he began servingas chief executive officer, GE has been named America's Most Admired Company in a poll conducted by Fortunemagazine and one of The World's Most Respected Companies in polls by Barron's and the Financial Times.Immelt was the chair of President Obama's Council on Jobs and Competitiveness. He is a member of The American Academy of Arts & Sciences.Immelt earned a B.A. degree in applied mathematics from Dartmouth College in 1978 and an M.B.A. from Harvard University in 1982. He and his wife have one daughter.","Manufacturing & Industry, Software / SaaS","United States, Saudi Arabia",,"Series A, Seed, Series B",,,,,,,,,,,,,"MaintainX â€” MaintainX helps you track your reactive maintenance, preventive maintenance, and control the daily operations of your business. Get started for Free!\nRx Redefined â€” Rx Redefined is a medical logistics platform that allows physicians to extend services to patients who require specific medical products. The company was founded in 2018 by Brandon Boots and Erik Smith and is headquartered in Oakland, California, United States.\nNext Power 360 â€” NextPower360 offers the most advanced generator in the world for variable input and output applications such as wind power and electric vehicles.",,,,http://www.linkedin.com/in/jeffimmelt,http://twitter.com/JeffImmelt,"['United States', 'Saudi Arabia']","Focus areas: Software, Manufacturing, Information Technology. Stage focus: Series A, Seed, Series B. Immelt has held several global leadership positions since coming to GE in 1982, including roles in GE's Plastics, Appliances, and Healthcare businesses. In 1989 he became an officer of GE and joined the GE Capital Board in 1997.Immelt has been named one of the World's Best CEOs three times by Barron's, and since he began servingas chief executive officer, GE has been named America's Most Admired Company in a poll conducted by Fortunemagazine and one of The World's Most Respected Companies in polls by Barron's and the Financial Times.Immelt was the chair of President Obama's Council on Jobs and Competitiveness. He is a member of The American Academy of Arts & Sciences.Immelt earned a B.A. degree in applied mathematics from Dartmouth College in 1978 and an M.B.A. from Harvard University in 1982. He and his wife have one daughter.. Country: Saudi Arabia. Target countries: United States, Saudi Arabia. Portfolio: MaintainX â€” MaintainX helps you track your reactive maintenance, preventive maintenance, and control the daily operations of your business. Get started for Free!\nRx Redefined â€” Rx Redefined is a medical logistics platform that allows physicians to extend services to patients who require specific medical products. The company was founded in 2018 by Brandon Boots and Erik Smith and is headquartered in Oakland, California, United States.\nNext Power 360 â€” NextPower360 offers the most advanced generator in the world for variable input and output applications such as wind power and electric vehicles.",Saudi Arabia
abdulrahman aljadhee,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,Abdulrahman ALJadhee,"E-Commerce & Retail, EdTech / Education",Saudi Arabia,,"Series A, Series B",,,,,,,,,,,,,Syarah â€” Syarah is an online cars marketplaces.\nNoon Academy â€” Why Study Alone Again? Start study groups with your friends and access the best teachers on demand!,,,,https://www.linkedin.com/in/abdulrahman-aljadhee-2801188a/,,['Saudi Arabia'],"Focus areas: EdTech, Internet, Tutoring. Stage focus: Series A, Series B. Abdulrahman ALJadhee. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: Syarah â€” Syarah is an online cars marketplaces.\nNoon Academy â€” Why Study Alone Again? Start study groups with your friends and access the best teachers on demand!",Saudi Arabia
mazen al jubeir,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,Mazen Al Jubeir - Board Member @ Careem,"EdTech / Education, Software / SaaS","Saudi Arabia, United States, United Arab Emirates",,"Seed, Series A",,,,,,,,,,,,,"Ocurate â€” Predicting customer LTV at the individual level at 90%+ accuracy informs marketing investments, forecasting, and general business health.\nSoum â€” â€_x008d_Soum is reimagining recommence in the MENA region and beyond by building the most convenient, trustworthy, and transparent recommence marketplace, starting with consumer electronics in Saudi Arabia.\nNoon Academy â€” Why Study Alone Again? Start study groups with your friends and access the best teachers on demand!",,,,https://www.linkedin.com/in/mazenaljubeir,,"['Saudi Arabia', 'United States', 'United Arab Emirates']","Focus areas: Apps, EdTech, Software. Stage focus: Seed, Series A. Mazen Al Jubeir - Board Member @ Careem. Country: Saudi Arabia. Target countries: Saudi Arabia, United States, United Arab Emirates. Portfolio: Ocurate â€” Predicting customer LTV at the individual level at 90%+ accuracy informs marketing investments, forecasting, and general business health.\nSoum â€” â€_x008d_Soum is reimagining recommence in the MENA region and beyond by building the most convenient, trustworthy, and transparent recommence marketplace, starting with consumer electronics in Saudi Arabia.\nNoon Academy â€” Why Study Alone Again? Start study groups with your friends and access the best teachers on demand!","United Arab Emirates, Saudi Arabia"
gsi ventures,VC Fund,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Saudi Arabia,GSI Ventures is the investment firm.,Software / SaaS,Saudi Arabia,,Seed,,,,,,,,,,,,,"Penny Software â€” Simple. Spending. Software.As above. But, more specifically, penny is a cloud-based Procure-To-Pay system. penny helps you digitize and manage your full procurement cycle from request to approval. Manage RFQs to vendors, compare quotations, send POs and even payment. penny was designed to make things easy and consolidate all of yourorganizationâ€™s spending needs into one intelligent system",,,,https://www.linkedin.com/company/gsi-ventures/,,['Saudi Arabia'],"Focus areas: B2B, SaaS, Software. Stage focus: Seed. GSI Ventures is the investment firm.. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: Penny Software â€” Simple. Spending. Software.As above. But, more specifically, penny is a cloud-based Procure-To-Pay system. penny helps you digitize and manage your full procurement cycle from request to approval. Manage RFQs to vendors, compare quotations, send POs and even payment. penny was designed to make things easy and consolidate all of yourorganizationâ€™s spending needs into one intelligent system",Saudi Arabia
ali aziz,VC Fund,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Saudi Arabia,Ali Aziz is a Founder and CEO at XStak Inc. He attended Free University of Brussels.,"E-Commerce & Retail, EdTech / Education","Pakistan, Saudi Arabia, United States",,"Pre-Seed, Angel",,,,,,,,,,,,,"Nearpeer.org â€” Nearpeer is an online solution for entry test preparation in Pakistan. Now you can prepare for all medical entry tests online without spending a lot of money.\nRetailo Technologies â€” Retailo is an online regional B2B marketplace platform that serves small and medium-sized retail businesses, including kiryana and baqala stores, in the MENAP region. We are using technology to digitize and streamline the retail sector to make it more efficient.\nGrandeur â€” One platform to rule all of IoT. Grandeur is message broker, auth, storage and app builder in a single package.",,,,https://www.linkedin.com/in/aliaziz/,,"['Pakistan', 'Saudi Arabia', 'United States']","Focus areas: B2B, EdTech, Retail. Stage focus: Pre-Seed, Angel. Ali Aziz is a Founder and CEO at XStak Inc. He attended Free University of Brussels.. Country: Saudi Arabia. Target countries: Pakistan, Saudi Arabia, United States. Portfolio: Nearpeer.org â€” Nearpeer is an online solution for entry test preparation in Pakistan. Now you can prepare for all medical entry tests online without spending a lot of money.\nRetailo Technologies â€” Retailo is an online regional B2B marketplace platform that serves small and medium-sized retail businesses, including kiryana and baqala stores, in the MENAP region. We are using technology to digitize and streamline the retail sector to make it more efficient.\nGrandeur â€” One platform to rule all of IoT. Grandeur is message broker, auth, storage and app builder in a single package.",Saudi Arabia
yaser alghamdi,VC Fund,"Khobar, Ash Sharqiyah, Saudi Arabia",Saudi Arabia,Yaser Alghamdi,"FinTech, E-Commerce & Retail, Manufacturing & Industry","Egypt, Pakistan, Saudi Arabia",,"Pre-Seed, Seed",,,,,,,,,,,,,"EdfaPay â€” Innovative and modern payment solutions tailored to suit the needs of businesses of all sizes and types, allowing for effortless growth management through a\nKalPay â€” KalPay is the largest Shariah Compliant Buy Now Pay Later in Pakistan, giving our customers easy access to credit and allowing them to purchase products in 3 monthly installments. We have a portfolio of hundreds of brands spread across multiple segments!\nON Market â€” E-grocery marketplace allows customers to order from their favorite retailers while empowering retailers to build & sustain online commerce",,,,https://www.linkedin.com/in/yaser-saeed-alghamdi-b7578756/,https://twitter.com/yas_gham,"['Egypt', 'Pakistan', 'Saudi Arabia']","Focus areas: Financial Services, Information Technology, Retail. Stage focus: Pre-Seed, Seed. Yaser Alghamdi. Country: Saudi Arabia. Target countries: Egypt, Pakistan, Saudi Arabia. Portfolio: EdfaPay â€” Innovative and modern payment solutions tailored to suit the needs of businesses of all sizes and types, allowing for effortless growth management through a\nKalPay â€” KalPay is the largest Shariah Compliant Buy Now Pay Later in Pakistan, giving our customers easy access to credit and allowing them to purchase products in 3 monthly installments. We have a portfolio of hundreds of brands spread across multiple segments!\nON Market â€” E-grocery marketplace allows customers to order from their favorite retailers while empowering retailers to build & sustain online commerce","Saudi Arabia, Egypt"
henrique dubugras,VC Fund,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Saudi Arabia,"Henrique Dubugras is Founder and Co-CEO of Brex â€” the first of its kind corporate card for startups. A Brazilian entrepreneur, Henrique built payments company Pagar.me â€” the Stripe of Brazil â€” when he was sixteen years old. In just three years, Pagar.me grew to $1.5 billion in volume of transactions processed. In the fall of 2016, Henrique soldPagar.me and enrolled at Stanford University. After eight months, he left school and founded Brex, which raised $215M in funding across three rounds in its first 22 months and was the fastest U.S. business-to-business company to be valued at over $1bn.","FinTech, Software / SaaS","United States, Brazil, Saudi Arabia",,"Seed, Pre-Seed, Series A",,,,,,,,,,,,,"Parcha AI â€” Parcha is an AI-powered enterprise software that enables businesses to automate their scale compliance and operations.\nExponential DeFi â€” Exponential is an investment platform for crypto holders to earn yield on their crypto through decentralized finance (DeFi) safely and easily.\nPortal â€” One integration opens the entire world of Web3 to your users. DeFi, games, NFTs, and more.",,,,http://www.linkedin.com/in/henriquedubugras,https://twitter.com/hdubugras,"['United States', 'Brazil', 'Saudi Arabia']","Focus areas: Financial Services, Software, SaaS. Stage focus: Seed, Pre-Seed, Series A. Henrique Dubugras is Founder and Co-CEO of Brex â€” the first of its kind corporate card for startups. A Brazilian entrepreneur, Henrique built payments company Pagar.me â€” the Stripe of Brazil â€” when he was sixteen years old. In just three years, Pagar.me grew to $1.5 billion in volume of transactions processed. In the fall of 2016, Henrique soldPagar.me and enrolled at Stanford University. After eight months, he left school and founded Brex, which raised $215M in funding across three rounds in its first 22 months and was the fastest U.S. business-to-business company to be valued at over $1bn.. Country: Saudi Arabia. Target countries: United States, Brazil, Saudi Arabia. Portfolio: Parcha AI â€” Parcha is an AI-powered enterprise software that enables businesses to automate their scale compliance and operations.\nExponential DeFi â€” Exponential is an investment platform for crypto holders to earn yield on their crypto through decentralized finance (DeFi) safely and easily.\nPortal â€” One integration opens the entire world of Web3 to your users. DeFi, games, NFTs, and more.",Saudi Arabia
abdullah mohammed al-dosari,VC Fund,"Dammam, Ash Sharqiyah, Saudi Arabia",Saudi Arabia,Abdullah Mohammed Al-Dosari is the Founder and Managing Director at T2.,"Software / SaaS, Social Media & Platforms",Saudi Arabia,,Pre-Seed,,,,,,,,,,,,,Bubbl Widget â€” Bubbl is a widget that displays live text feeds from your favorite pals right on your Home Screen. You and your best pals will see each other's thoughts and statuses every time you unlock your phone. It's a small insight into what everyone is up to throughout the day.,,,,https://www.linkedin.com/in/adossary/,,['Saudi Arabia'],"Focus areas: Apps, Social Media, Social Network. Stage focus: Pre-Seed. Abdullah Mohammed Al-Dosari is the Founder and Managing Director at T2.. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: Bubbl Widget â€” Bubbl is a widget that displays live text feeds from your favorite pals right on your Home Screen. You and your best pals will see each other's thoughts and statuses every time you unlock your phone. It's a small insight into what everyone is up to throughout the day.",Saudi Arabia
himangel,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,"HIMAngel is a venture capital and private equity firm that supports early-stage startups to grow. It fills the funds' gap as there is an increasing focus on growth-stage VC funds, but little attention and even less money made available for early-stage investments. HIMAngel was founded in 2017 and headquartered in Cairo, Al Qahirah.","E-Commerce & Retail, Manufacturing & Industry, Food & Beverage / AgriTech","Egypt, Saudi Arabia, United States",,"Seed, Pre-Seed, Convertible Note",,,,,,,,,,,,,"Rology â€” AI-assisted On-demand Teleradiology Platform\nGBarena â€” GBarena is an online esports platform that serves the ecosystem stakeholders by the combination of a strong network of different esports communities, and a highly analytical tool to provide authentic value for all stakeholders (Publishers, Gamers, Tournament Organizers, Sponsors, Teams, and Media Partners).\nFreshSource â€” FreshSource is revolutionizing the agriculture value chain through a tech-based B2B platform that is disrupting the distribution model of horticulture produce.",,,,https://www.linkedin.com/company/himangel/about/,,"['Egypt', 'Saudi Arabia', 'United States']","Focus areas: Food and Beverage, E-Commerce, Manufacturing. Stage focus: Seed, Pre-Seed, Convertible Note. HIMAngel is a venture capital and private equity firm that supports early-stage startups to grow. It fills the funds' gap as there is an increasing focus on growth-stage VC funds, but little attention and even less money made available for early-stage investments. HIMAngel was founded in 2017 and headquartered in Cairo, Al Qahirah.. Country: Saudi Arabia. Target countries: Egypt, Saudi Arabia, United States. Portfolio: Rology â€” AI-assisted On-demand Teleradiology Platform\nGBarena â€” GBarena is an online esports platform that serves the ecosystem stakeholders by the combination of a strong network of different esports communities, and a highly analytical tool to provide authentic value for all stakeholders (Publishers, Gamers, Tournament Organizers, Sponsors, Teams, and Media Partners).\nFreshSource â€” FreshSource is revolutionizing the agriculture value chain through a tech-based B2B platform that is disrupting the distribution model of horticulture produce.","Saudi Arabia, Egypt"
raaf holding company,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,RAAF Holding Company provides financial Services.,Logistics & Supply Chain,Saudi Arabia,,Seed,,,,,,,,,,,,,RedBox â€” RedBox ships online products to the nearest smart locker for faster delivery and easy access.,,,,https://www.linkedin.com/company/raaf-holding/,,['Saudi Arabia'],"Focus areas: Shipping, Logistics. Stage focus: Seed. RAAF Holding Company provides financial Services.. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: RedBox â€” RedBox ships online products to the nearest smart locker for faster delivery and easy access.",Saudi Arabia
jamil ahmad,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,Jamil Ahmad Co-Founder & CBO at Fashinza. He attended MBA from Global University during 2008-2010.,"E-Commerce & Retail, Fashion & Lifestyle",Saudi Arabia,,Seed,,,,,,,,,,,,,"Taffi â€” Our mission is to empower individuals by providing personalized styling and shopping services through bespoke expert advice that celebrates their individual and authentic styles. Our diverse team and culture are built around integrity, trust, and passion to delight our customers with contemporary styles they are proud to wear.Taffi is currentlyfulfilling personalized styling and shopping services for customers in Saudi Arabia and looks to expand into neighboring countries in the GCC and MENA region.",,,,https://www.linkedin.com/in/jamil-ahmad-building-fashinza-a1a59935/,https://twitter.com/jamil9891,['Saudi Arabia'],"Focus areas: Fashion, E-Commerce. Stage focus: Seed. Jamil Ahmad Co-Founder & CBO at Fashinza. He attended MBA from Global University during 2008-2010.. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: Taffi â€” Our mission is to empower individuals by providing personalized styling and shopping services through bespoke expert advice that celebrates their individual and authentic styles. Our diverse team and culture are built around integrity, trust, and passion to delight our customers with contemporary styles they are proud to wear.Taffi is currentlyfulfilling personalized styling and shopping services for customers in Saudi Arabia and looks to expand into neighboring countries in the GCC and MENA region.",Saudi Arabia
abhishek sharma,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,"Abhishek is the Co-Founder and COO of Fashinza, a global tech-enabled manufacturing company helping Fashion brands source apparel using data and cloud that is more sustainable, ethical, inclusive, fast, and efficient. Fashinza is funded by leading VCs, Accel Partners, Elevation Capital, Prosus Ventures (Naspers), Westbridge, and ADQ UAE.He hasextensive experience in product & technology, building start-ups like Flipkart (Indiaâ€™s leading eCommerce platform acquired by Walmart), LimeRoad, Curofy (acquired by RoundGlass USA) & BharatPe. He is also a writer and guest author for ProductSchool, Hackernoon, Prototypr, and Noteworthy","E-Commerce & Retail, Software / SaaS, Fashion & Lifestyle","India, Saudi Arabia",,"Seed, Pre-Seed",,,,,,,,,,,,,"Kikibix â€” Relish what tastes like your childhood, loaded with an array of healthy ingredients for scrumptiously flavorful and healthy snacks. Born from the vision of a doctor to make a brilliant amalgamation of tasty and healthy. Made with love, baked to perfection, a home for healthy cookies that taste amazing!\nBabynama â€” Babynama is a digital platform with a highly experienced and professional team of doctors to cater to baby's problems.\nMagma â€” Magma platform partners with factories and raw materials suppliers to offer supply chain services from the supplier to the customer.",,,,https://www.linkedin.com/in/abhishekksharma/,https://twitter.com/abhisheks1204,"['India', 'Saudi Arabia']","Focus areas: Apps, Retail, Fashion. Stage focus: Seed, Pre-Seed. Abhishek is the Co-Founder and COO of Fashinza, a global tech-enabled manufacturing company helping Fashion brands source apparel using data and cloud that is more sustainable, ethical, inclusive, fast, and efficient. Fashinza is funded by leading VCs, Accel Partners, Elevation Capital, Prosus Ventures (Naspers), Westbridge, and ADQ UAE.He hasextensive experience in product & technology, building start-ups like Flipkart (Indiaâ€™s leading eCommerce platform acquired by Walmart), LimeRoad, Curofy (acquired by RoundGlass USA) & BharatPe. He is also a writer and guest author for ProductSchool, Hackernoon, Prototypr, and Noteworthy. Country: Saudi Arabia. Target countries: India, Saudi Arabia. Portfolio: Kikibix â€” Relish what tastes like your childhood, loaded with an array of healthy ingredients for scrumptiously flavorful and healthy snacks. Born from the vision of a doctor to make a brilliant amalgamation of tasty and healthy. Made with love, baked to perfection, a home for healthy cookies that taste amazing!\nBabynama â€” Babynama is a digital platform with a highly experienced and professional team of doctors to cater to baby's problems.\nMagma â€” Magma platform partners with factories and raw materials suppliers to offer supply chain services from the supplier to the customer.",Saudi Arabia
khalid altawil,Angel,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,Khalid AlTawil is a Board Member at Saudi Chemcial Company.,"Gaming & Entertainment, Sports & Esports","Egypt, India, United Arab Emirates",,Seed,,,,,,,,,,,,,"Rooter â€” Rooter is an Indian game streaming platform that organizes multiple esports tournaments and owns many gaming IPs. It focuses on the massive mobile gaming market of more than 350 mn gamers. Conceptualized in 2016, Rooter was initially set up by Piyush and Dipesh Agarwal to build a strong community of sports fans around the world. But soon afterthe outbreak of COVID-19, Rooter forayed into game streaming to build one of the countryâ€™s biggest communities of gamers as well. Rooter has reached out to more than 23 mn users with an average user watching Live game streams daily for 26 mins. Rooter also runs the biggest community program to build the next million game streamers in India. Today Rooter is the biggest streaming platform in India available across Android, iOS, and Desktop.\nGBarena â€” GBarena is an online esports platform that serves the ecosystem stakeholders by the combination of a strong network of different esports communities, and a highly analytical tool to provide authentic value for all stakeholders (Publishers, Gamers, Tournament Organizers, Sponsors, Teams, and Media Partners).\nRentSher Middle East â€” UAE Listings and Directories for Vape and Tobacco Shop in UAE",,,,https://www.linkedin.com/in/dr-khalid-altawil-91296213/,,"['Egypt', 'India', 'United Arab Emirates']","Focus areas: Gaming, eSports, Rental. Stage focus: Seed. Khalid AlTawil is a Board Member at Saudi Chemcial Company.. Country: United Arab Emirates. Target countries: Egypt, India, United Arab Emirates. Portfolio: Rooter â€” Rooter is an Indian game streaming platform that organizes multiple esports tournaments and owns many gaming IPs. It focuses on the massive mobile gaming market of more than 350 mn gamers. Conceptualized in 2016, Rooter was initially set up by Piyush and Dipesh Agarwal to build a strong community of sports fans around the world. But soon afterthe outbreak of COVID-19, Rooter forayed into game streaming to build one of the countryâ€™s biggest communities of gamers as well. Rooter has reached out to more than 23 mn users with an average user watching Live game streams daily for 26 mins. Rooter also runs the biggest community program to build the next million game streamers in India. Today Rooter is the biggest streaming platform in India available across Android, iOS, and Desktop.\nGBarena â€” GBarena is an online esports platform that serves the ecosystem stakeholders by the combination of a strong network of different esports communities, and a highly analytical tool to provide authentic value for all stakeholders (Publishers, Gamers, Tournament Organizers, Sponsors, Teams, and Media Partners).\nRentSher Middle East â€” UAE Listings and Directories for Vape and Tobacco Shop in UAE","United Arab Emirates, Egypt"
nkehl,Angel,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,NKEHL is a family office fund.,"E-Commerce & Retail, Fashion & Lifestyle, Healthcare",United Arab Emirates,,Seed,,,,,,,,,,,,,"Powder Beauty â€” Powder Beauty provides insanely good, obsession-worthy products with a conscious DNA.",,,,https://www.linkedin.com/company/nkehl,,['United Arab Emirates'],"Focus areas: Beauty, E-Commerce, Health Care. Stage focus: Seed. NKEHL is a family office fund.. Country: United Arab Emirates. Target countries: United Arab Emirates. Portfolio: Powder Beauty â€” Powder Beauty provides insanely good, obsession-worthy products with a conscious DNA.",United Arab Emirates
anuscha iqbal,Angel,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,Anuscha Iqbal,Fashion & Lifestyle,United Arab Emirates,,Pre-Seed,,,,,,,,,,,,,"Secret Skin â€” Buy non-toxic skincare & beauty products online from Secret Skin. Shop 100% natural and organic Skin Care, Hair Care, Bath & Body Care, Beard Grooming and Beauty products for Women & Men online at the Secret Skin store.\nSavii â€” Banking for HER. A women-centric neobank and investing platform, focusing on financial empowerment, education, and community.",,,,https://www.linkedin.com/in/anuscha-iqbal-8784552,,['United Arab Emirates'],"Focus areas: Beauty, Cosmetics. Stage focus: Pre-Seed. Anuscha Iqbal. Country: United Arab Emirates. Target countries: United Arab Emirates. Portfolio: Secret Skin â€” Buy non-toxic skincare & beauty products online from Secret Skin. Shop 100% natural and organic Skin Care, Hair Care, Bath & Body Care, Beard Grooming and Beauty products for Women & Men online at the Secret Skin store.\nSavii â€” Banking for HER. A women-centric neobank and investing platform, focusing on financial empowerment, education, and community.",United Arab Emirates
sudeep tandon,VC Fund,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,Sudeep Tandon,Real Estate & Construction,United Arab Emirates,,Seed,,,,,,,,,,,,,"Silkhaus â€” A seamless, sophisticated experience you can rely on. Choose from the wide variety of furnished Boutique Flats and apartments for short and long-term stays from Silkhaus.",,,,https://www.linkedin.com/in/sudeep-tandon-7023622/?trk=public_post-text&originalSubdomain=in,,['United Arab Emirates'],"Focus areas: Property Management. Stage focus: Seed. Sudeep Tandon. Country: United Arab Emirates. Target countries: United Arab Emirates. Portfolio: Silkhaus â€” A seamless, sophisticated experience you can rely on. Choose from the wide variety of furnished Boutique Flats and apartments for short and long-term stays from Silkhaus.",United Arab Emirates
tarush awasthi,VC Fund,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,Tarush Awasthi,Real Estate & Construction,United Arab Emirates,,Seed,,,,,,,,,,,,,"Silkhaus â€” A seamless, sophisticated experience you can rely on. Choose from the wide variety of furnished Boutique Flats and apartments for short and long-term stays from Silkhaus.",,,,https://www.linkedin.com/in/tarush-awasthi-b7233b69/?trk=public_post-text&originalSubdomain=in,,['United Arab Emirates'],"Focus areas: Property Management. Stage focus: Seed. Tarush Awasthi. Country: United Arab Emirates. Target countries: United Arab Emirates. Portfolio: Silkhaus â€” A seamless, sophisticated experience you can rely on. Choose from the wide variety of furnished Boutique Flats and apartments for short and long-term stays from Silkhaus.",United Arab Emirates
viswanathan shankar,VC Fund,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,"Shankar is Co-Founder and Chief Executive Officer of Gateway Partners. Prior to Gateway, Shankar was CEO â€“ Europe, Middle East, Africa and Americas and a member of the global board of Standard Chartered PLC. Previously he was CEO of BA Asia and Head of Investment Banking for Asia Pacific at Bank of America. Shankar is non-executive director ofDangote Cement PLC (Nigeria), Gateway Real Estate Africa (Mauritius), Vision Blue Resources (Guernsey), Fund for Export Development in Africa (Egypt), and Dangote Industries Limited (Nigeria). He holds a BSc in Physics from Loyola College in Chennai and an MBA from the Indian Institute of Management in Bangalore.",Real Estate & Construction,United Arab Emirates,,Seed,,,,,,,,,,,,,"Silkhaus â€” A seamless, sophisticated experience you can rely on. Choose from the wide variety of furnished Boutique Flats and apartments for short and long-term stays from Silkhaus.",,,,https://www.linkedin.com/in/v-shankar-34692bba,,['United Arab Emirates'],"Focus areas: Property Management. Stage focus: Seed. Shankar is Co-Founder and Chief Executive Officer of Gateway Partners. Prior to Gateway, Shankar was CEO â€“ Europe, Middle East, Africa and Americas and a member of the global board of Standard Chartered PLC. Previously he was CEO of BA Asia and Head of Investment Banking for Asia Pacific at Bank of America. Shankar is non-executive director ofDangote Cement PLC (Nigeria), Gateway Real Estate Africa (Mauritius), Vision Blue Resources (Guernsey), Fund for Export Development in Africa (Egypt), and Dangote Industries Limited (Nigeria). He holds a BSc in Physics from Loyola College in Chennai and an MBA from the Indian Institute of Management in Bangalore.. Country: United Arab Emirates. Target countries: United Arab Emirates. Portfolio: Silkhaus â€” A seamless, sophisticated experience you can rely on. Choose from the wide variety of furnished Boutique Flats and apartments for short and long-term stays from Silkhaus.",United Arab Emirates
mishaal alireza,VC Fund,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,Mishaal Alireza - Board Member @ DokkanAfkar,"FinTech, E-Commerce & Retail, Software / SaaS",United Arab Emirates,,"Series A, Seed",,,,,,,,,,,,,"Hang w/ â€”\nClip the Deal â€” Save money on grocery brands in UAE with Clip the Deal. Find discount deals, reviews of grocery items of top brands. Download the free app and start saving.\nStake â€” Stake is a digital real estate investment platform providing the easiest and most transparent way to invest in income generating properties, starting in Dubai. Our mission is to make investing in real estate accessible and profitable for all.",,,,https://www.linkedin.com/in/mishaal-alireza-0014081,,['United Arab Emirates'],"Focus areas: Apps, Retail, FinTech. Stage focus: Series A, Seed. Mishaal Alireza - Board Member @ DokkanAfkar. Country: United Arab Emirates. Target countries: United Arab Emirates. Portfolio: Hang w/ â€”\nClip the Deal â€” Save money on grocery brands in UAE with Clip the Deal. Find discount deals, reviews of grocery items of top brands. Download the free app and start saving.\nStake â€” Stake is a digital real estate investment platform providing the easiest and most transparent way to invest in income generating properties, starting in Dubai. Our mission is to make investing in real estate accessible and profitable for all.",United Arab Emirates
